time,open,high,low,close,Volume
1326465000,128.64,129.05,127.72,128.84,179836128
1326810600,130.08,130.32001,128.89571,129.34,132209184
1326897000,129.31,130.84,129.08,130.77,163395120
1326983400,131.22,131.57001,130.8,131.46001,126328816
1327069800,131.24001,131.95,130.92,131.53999,138230128
1327329000,131.50999,132.25,130.98,131.61,129295744
1327415400,130.8,131.5,130.60001,131.46001,103083248
1327501800,131.25999,132.87,130.75,132.56,198613184
1327588200,133.14999,133.39999,131.36,131.88,184880496
1327674600,131.24001,132.05,131.14999,131.82001,135259056
1327933800,130.50999,131.44,130.06,131.37,147311744
1328020200,132.02,132.17999,130.67999,131.32001,157211936
1328106600,132.28999,133.14,132.13,132.47,166234432
1328193000,132.73,133.02,132.21001,132.67999,113090368
1328279400,134,134.62,133.77,134.53999,160598496
1328538600,133.98,134.5134,133.83,134.45,107694432
1328625000,134.17,135.02,133.64,134.78999,135528064
1328711400,134.86,135.22,134.31,135.19,139361376
1328797800,135.41,135.59,134.56,135.36,148602816
1328884200,134.16,134.47,133.84,134.36099,167907504
1329143400,135.32001,135.52,134.74001,135.36,115841808
1329229800,135,135.27,134.25,135.19,165996128
1329316200,135.63,135.83,134.28999,134.56,195195120
1329402600,134.57001,136.17,134.33,136.049,186567744
1329489000,136.52,136.6275,135.96001,136.41,129869376
1329834600,136.73,137.05,136.05,136.47,134042256
1329921000,136.25999,136.55,135.78999,136.032,124455248
1330007400,135.96001,136.73,135.5,136.631,137704256
1330093800,136.92999,137.2,136.63,136.92999,105539056
1330353000,136.02,137.53,135.8,137.16,145728816
1330439400,137.2,137.72,136.92999,137.55901,129355808
1330525800,137.75999,138.19,136.53999,137.02,185934688
1330612200,137.31,137.99001,136.9312,137.73,145026128
1330698600,137.64,137.82001,137,137.312,120638256
1330957800,137.10001,137.2,136.28,136.75,140765008
1331044200,135.35001,135.42999,134.36,134.75,202129808
1331130600,135.06,135.91,134.92999,135.69,143692128
1331217000,136.52,137.32001,136.24001,137.03999,116968816
1331303400,137.3,137.92999,137.13,137.57001,122836752
1331559000,137.55,137.75999,137.09,137.58,104003504
1331645400,138.32001,140.13,138.09,140.062,184090432
1331731800,140.10001,140.44501,139.48,139.91,145163504
1331818200,140.12,140.78,139.75999,140.72,165118432
1331904600,140.36,140.48,140,140.3,152893376
1332163800,140.21001,141.28,140.11,140.85001,125291008
1332250200,140.05,140.61,139.64,140.44,121729632
1332336600,140.52,140.64999,139.92,140.21001,122388368
1332423000,139.17999,139.55,138.74001,139.2,135216688
1332509400,139.32001,139.81,138.55,139.64999,120520944
1332768600,140.64999,141.61,140.60001,141.61,120163936
1332855000,141.74001,141.83,141.08,141.17,119868432
1332941400,141.10001,141.32001,139.64,140.47,148562000
1333027800,139.64,140.49339,139.09,140.23,164963632
